OLTID,ONUSerial,ONUSTARTEVENT-ONU-discovery-indication-sent,ONUENDEVENT-Flow-add-received,EpochTime
A4,BBSM00040104,1577868536075.0,1577868591399.0,55324.0
A4,BBSM0004010B5,1577868536077.0,1577868591416.0,55339.0
A4,BBSM0004010C4,1577868536078.0,1577868591421.0,55343.0
A4,BBSM00040107,1577868536080.0,1577868591432.0,55352.0
A4,BBSM00040108,1577868536082.0,1577868591439.0,55357.0
A4,BBSM00040109,1577868536084.0,1577868591447.0,55363.0
A4,BBSM0004010a,1577868536085.0,1577868591454.0,55369.0
A4,BBSM0004010b,1577868536089.0,1577868591466.0,55377.0
A4,BBSM0004010c,1577868536090.0,1577868591473.0,55383.0
A4,BBSM0004010d,1577868536092.0,1577868591483.0,55391.0
A4,BBSM0004010e,1577868536095.0,1577868591491.0,55396.0
A4,BBSM0004010f,1577868536097.0,1577868591501.0,55404.0
A4,BBSM00040110,1577868536099.0,1577868591509.0,55410.0
A4,BBSM00040111,1577868536101.0,1577868591514.0,55413.0
A4,BBSM00040112,1577868536102.0,1577868591523.0,55421.0
A4,BBSM00040113,1577868536105.0,1577868591533.0,55428.0
A4,BBSM00040114,1577868536106.0,1577868591544.0,55438.0
A4,BBSM0004011B5,1577868536107.0,1577868591540.0,55433.0
A4,BBSM0004011C4,1577868536110.0,1577868591551.0,55441.0
A4,BBSM00040117,1577868536112.0,1577868591560.0,55448.0
A4,BBSM00040118,1577868536114.0,1577868591566.0,55452.0
A4,BBSM00040119,1577868536117.0,1577868591575.0,55458.0
A4,BBSM0004011a,1577868536121.0,1577868591580.0,55459.0
A4,BBSM0004011b,1577868536123.0,1577868591591.0,55468.0
A4,BBSM0004011c,1577868536124.0,1577868591596.0,55472.0
A4,BBSM0004011d,1577868536126.0,1577868591604.0,55478.0
A4,BBSM0004011e,1577868536129.0,1577868591614.0,55485.0
A4,BBSM0004011f,1577868536129.0,1577868591619.0,55490.0
A4,BBSM00040120,1577868536132.0,1577868591626.0,55494.0
A4,BBSM00041901,1577868536133.0,1577868591633.0,55500.0
A4,BBSM00041902,1577868536136.0,1577868591641.0,55505.0
A4,BBSM00041904,1577868536136.0,1577868591645.0,55509.0
A4,BBSM00041903,1577868536137.0,1577868591647.0,55510.0
A4,BBSM0004190B5,1577868536139.0,1577868591659.0,55520.0
A4,BBSM0004190C4,1577868536143.0,1577868591667.0,55524.0
A4,BBSM00041907,1577868536145.0,1577868591678.0,55533.0
A4,BBSM00041908,1577868536147.0,1577868591685.0,55538.0
A4,BBSM00041909,1577868536147.0,1577868591692.0,55545.0
A4,BBSM0004190a,1577868536150.0,1577868591700.0,55550.0
A4,BBSM0004190b,1577868536154.0,1577868591706.0,55552.0
A4,BBSM0004190c,1577868536155.0,1577868591714.0,55559.0
A4,BBSM0004190d,1577868536157.0,1577868591726.0,55569.0
A4,BBSM0004190e,1577868536159.0,1577868591731.0,55572.0
A4,BBSM0004190f,1577868536162.0,1577868591743.0,55581.0
A4,BBSM00041910,1577868536163.0,1577868591748.0,55585.0
A4,BBSM00041911,1577868536165.0,1577868591755.0,55590.0
A4,BBSM00041912,1577868536169.0,1577868591767.0,55598.0
A4,BBSM00041913,1577868536171.0,1577868591774.0,55603.0
A4,BBSM00041914,1577868536172.0,1577868591779.0,55607.0
A4,BBSM0004191B5,1577868536174.0,1577868591787.0,55613.0
A4,BBSM0004191C4,1577868536175.0,1577868591796.0,55621.0
A4,BBSM00041917,1577868536179.0,1577868591806.0,55627.0
A4,BBSM00041918,1577868536179.0,1577868591811.0,55632.0
A4,BBSM00041919,1577868536181.0,1577868591818.0,55637.0
A4,BBSM0004191a,1577868536186.0,1577868591826.0,55640.0
A4,BBSM0004191b,1577868536188.0,1577868591833.0,55645.0
A4,BBSM0004191c,1577868536190.0,1577868591842.0,55652.0
A4,BBSM0004191d,1577868536192.0,1577868591849.0,55657.0
A4,BBSM0004191e,1577868536194.0,1577868591861.0,55667.0
A4,BBSM0004191f,1577868536196.0,1577868591865.0,55669.0
A4,BBSM00041920,1577868536198.0,1577868591875.0,55677.0
A4,BBSM00040501,1577868536200.0,1577868591886.0,55686.0
A4,BBSM00040502,1577868536201.0,1577868591892.0,55691.0
A4,BBSM00040503,1577868536203.0,1577868591898.0,55695.0
A4,BBSM00040504,1577868536204.0,1577868591906.0,55702.0
A4,BBSM0004050B5,1577868536206.0,1577868591911.0,55705.0
A4,BBSM0004050C4,1577868536208.0,1577868591920.0,55712.0
A4,BBSM00040507,1577868536210.0,1577868591927.0,55717.0
A4,BBSM00040508,1577868536212.0,1577868591937.0,55725.0
A4,BBSM00040509,1577868536214.0,1577868591943.0,55729.0
A4,BBSM0004050a,1577868536220.0,1577868591954.0,55734.0
A4,BBSM0004050b,1577868536221.0,1577868591962.0,55741.0
A4,BBSM0004050c,1577868536224.0,1577868591971.0,55747.0
A4,BBSM0004050d,1577868536226.0,1577868591977.0,55751.0
A4,BBSM0004050e,1577868536227.0,1577868591981.0,55754.0
A4,BBSM0004050f,1577868536229.0,1577868591988.0,55759.0
A4,BBSM00040510,1577868536231.0,1577868591995.0,55764.0
A4,BBSM00040511,1577868536232.0,1577868592000.0,55768.0
A4,BBSM00040512,1577868536235.0,1577868592007.0,55772.0
A4,BBSM00040513,1577868536236.0,1577868592014.0,55778.0
A4,BBSM00040514,1577868536237.0,1577868592020.0,55783.0
A4,BBSM0004051B5,1577868536239.0,1577868592025.0,55786.0
A4,BBSM0004051C4,1577868536241.0,1577868592032.0,55791.0
A4,BBSM00040517,1577868536243.0,1577868592039.0,55796.0
A4,BBSM00040518,1577868536246.0,1577868592049.0,55803.0
A4,BBSM00040519,1577868536250.0,1577868592052.0,55802.0
A4,BBSM0004051a,1577868536252.0,1577868592062.0,55810.0
A4,BBSM0004051b,1577868536253.0,1577868592065.0,55812.0
A4,BBSM0004051c,1577868536254.0,1577868592072.0,55818.0
A4,BBSM0004051d,1577868536254.0,1577868592069.0,55815.0
A4,BBSM0004051e,1577868536257.0,1577868592081.0,55824.0
A4,BBSM0004051f,1577868536259.0,1577868592087.0,55828.0
A4,BBSM00040520,1577868536260.0,1577868592091.0,55831.0
A4,BBSM00040601,1577868536264.0,1577868592101.0,55837.0
A4,BBSM00040602,1577868536266.0,1577868592107.0,55841.0
A4,BBSM00040603,1577868536268.0,1577868592114.0,55846.0
A4,BBSM00040604,1577868536269.0,1577868592119.0,55850.0
A4,BBSM0004060B5,1577868536272.0,1577868592124.0,55852.0
A4,BBSM0004060C4,1577868536274.0,1577868592135.0,55861.0
A4,BBSM00040607,1577868536278.0,1577868592142.0,55864.0
A4,BBSM00040608,1577868536282.0,1577868592152.0,55870.0
A4,BBSM00040609,1577868536284.0,1577868592160.0,55876.0
A4,BBSM0004060a,1577868536286.0,1577868592167.0,55881.0
A4,BBSM0004060b,1577868536288.0,1577868592171.0,55883.0
A4,BBSM0004060c,1577868536290.0,1577868592177.0,55887.0
A4,BBSM0004060d,1577868536291.0,1577868592184.0,55893.0
A4,BBSM0004060e,1577868536294.0,1577868592189.0,55895.0
A4,BBSM0004060f,1577868536296.0,1577868592195.0,55899.0
A4,BBSM00040610,1577868536298.0,1577868592203.0,55905.0
A4,BBSM00040611,1577868536302.0,1577868592211.0,55909.0
A4,BBSM00040612,1577868536303.0,1577868592214.0,55911.0
A4,BBSM00040613,1577868536305.0,1577868592221.0,55916.0
A4,BBSM00040614,1577868536308.0,1577868592225.0,55917.0
A4,BBSM0004061B5,1577868536313.0,1577868592234.0,55921.0
A4,BBSM0004061C4,1577868536314.0,1577868592242.0,55928.0
A4,BBSM00040617,1577868536316.0,1577868592246.0,55930.0
A4,BBSM00040618,1577868536317.0,1577868592250.0,55933.0
A4,BBSM00040619,1577868536319.0,1577868592256.0,55937.0
A4,BBSM0004061a,1577868536321.0,1577868592263.0,55942.0
A4,BBSM0004061b,1577868536323.0,1577868592270.0,55947.0
A4,BBSM0004061c,1577868536324.0,1577868592275.0,55951.0
A4,BBSM0004061d,1577868536326.0,1577868592281.0,55955.0
A4,BBSM0004061e,1577868536329.0,1577868592289.0,55960.0
A4,BBSM0004061f,1577868536332.0,1577868592300.0,55968.0
A4,BBSM00040620,1577868536333.0,1577868592307.0,55974.0
A4,BBSM00041501,1577868536335.0,1577868592314.0,55979.0
A4,BBSM00041502,1577868536337.0,1577868592316.0,55979.0
A4,BBSM00041503,1577868536339.0,1577868592323.0,55984.0
A4,BBSM00041504,1577868536340.0,1577868592330.0,55990.0
A4,BBSM0004150B5,1577868536342.0,1577868592334.0,55992.0
A4,BBSM0004150C4,1577868536344.0,1577868592339.0,55995.0
A4,BBSM00041507,1577868536348.0,1577868592346.0,55998.0
A4,BBSM00041508,1577868536350.0,1577868592355.0,56005.0
A4,BBSM00041509,1577868536353.0,1577868592362.0,56009.0
A4,BBSM0004150a,1577868536354.0,1577868592366.0,56012.0
A4,BBSM0004150b,1577868536357.0,1577868592376.0,56019.0
A4,BBSM0004150c,1577868536358.0,1577868592381.0,56023.0
A4,BBSM0004150d,1577868536360.0,1577868592388.0,56028.0
A4,BBSM0004150e,1577868536361.0,1577868592393.0,56032.0
A4,BBSM0004150f,1577868536364.0,1577868592401.0,56037.0
A4,BBSM00041510,1577868536365.0,1577868592406.0,56041.0
A4,BBSM00041511,1577868536368.0,1577868592414.0,56046.0
A4,BBSM00041513,1577868536369.0,1577868592422.0,56053.0
A4,BBSM00041512,1577868536370.0,1577868592419.0,56049.0
A4,BBSM00041514,1577868536370.0,1577868592429.0,56059.0
A4,BBSM0004151B5,1577868536373.0,1577868592437.0,56064.0
A4,BBSM0004151C4,1577868536374.0,1577868592445.0,56071.0
A4,BBSM00041517,1577868536378.0,1577868592452.0,56074.0
A4,BBSM00041518,1577868536381.0,1577868592461.0,56080.0
A4,BBSM00041519,1577868536382.0,1577868592467.0,56085.0
